"Oldest ticket report PN","",""
"Pool","Ticket ID","Last touched"
"******","117897216","2016-01-14 22:00:38"
"Automated Script Pool","117012728","2015-12-28 17:40:56"
"Billing Accuracy - Missing TV Hardware","106097944","2015-06-19 14:47:42"
"Billing Operations - Billing Discounts","118065243","2016-01-14 18:21:49"
"Billing Operations - Billing, Refunds and Credits","118045012","2016-01-14 16:58:54"
"Billing Operations - Braille, Large Print or Audio Invoices","116701238","2016-01-15 07:06:27"
"Billing Operations - Cheque refunds","117947681","2016-01-13 14:27:39"
"BOT - ADSL Cease Requests","115801620","2015-12-21 07:05:28"
"BOT - Asset Checks","115101488","2015-12-02 17:29:37"
"BOT - Bauer Agent to Agent","117054598","2016-01-14 07:05:47"
"BOT - Brand Migrations","115435905","2015-12-31 07:05:15"
"BOT - Delayed Orders","117430684","2016-01-08 12:58:25"
"BOT - Dispute No Access","115437877","2015-12-01 13:55:42"
"BOT - DSL Logged Appointments ADSL2","117904681","2016-01-12 14:36:57"
"BOT - DSL Logged Faults","116440376","2016-01-05 12:49:40"
"BOT - DSL Logged Faults - Auth","117097989","2016-01-12 08:28:34"
"BOT - DSL Logged Faults - Interm","117356915","2016-01-11 15:08:10"
"BOT - DSL Logged Faults - No Syn","117894211","2016-01-12 11:34:51"
"BOT - DSL Logged Faults - Post SFI","117596586","2016-01-11 19:05:02"
"BOT - DSL Logged Faults - Priority Team","115937551","2016-01-14 07:06:51"
"BOT - DSL Logged Faults - Priority Team Escalated","113458643","2016-01-13 18:19:21"
"BOT - DSL Logged Faults - Retest","117516030","2016-01-12 08:58:41"
"BOT - DSL Logged Faults - SFI","117068562","2016-01-11 07:20:32"
"BOT - DSL Logged Faults - Speed","116966532","2016-01-13 11:38:08"
"BOT - DSL Logged Faults ADSL2","117726536","2016-01-11 21:39:47"
"BOT - DSL Logged Faults ADSL2 - Auth","117820587","2016-01-13 16:07:00"
"BOT - DSL Logged Faults ADSL2 - Interm","117583445","2016-01-09 19:38:49"
"BOT - DSL Logged Faults ADSL2 - LTB","118056267","2016-01-14 14:44:05"
"BOT - DSL Logged Faults ADSL2 - No Sync","117607678","2016-01-12 21:11:58"
"BOT - DSL Logged Faults ADSL2 - Speed","117982573","2016-01-14 11:44:17"
"BOT - DSL Migrations","117512111","2016-01-06 14:24:08"
"BOT - DSL Regrades","117379726","2016-01-04 19:33:57"
"BOT - Engineer Charging disputes","117851663","2016-01-14 09:26:24"
"BOT - Expedite Orders","114767951","2016-01-14 07:09:30"
"BOT - FTTC Appointments","117670505","2016-01-08 16:03:03"
"BOT - FTTC Logged Faults","117351920","2016-01-11 13:13:09"
"BOT - FTTC Logged Faults - Appointments","117299176","2016-01-06 18:50:36"
"BOT - FTTC Logged Faults - Auth","117260618","2016-01-13 07:07:21"
"BOT - FTTC Logged Faults - Interm","117155834","2016-01-08 13:05:11"
"BOT - FTTC Logged Faults - LTB","117928717","2016-01-13 09:00:31"
"BOT - FTTC Logged Faults - No Sync","117588751","2016-01-12 08:13:37"
"BOT - FTTC Logged Faults - Post SFI","117377080","2016-01-13 09:05:19"
"BOT - FTTC Logged Faults - Priority Escalated","116552240","2016-01-14 07:09:03"
"BOT - FTTC Logged Faults - Speed","116370034","2016-01-12 11:56:35"
"BOT - FTTC Provides","117255146","2016-01-13 07:07:42"
"BOT - FTTC Rejections","117016370","2016-01-14 19:28:50"
"BOT - Home Phone Nuisance Calls","118062191","2016-01-14 17:00:27"
"BOT - House Moves","117380916","2016-01-08 07:08:48"
"BOT - House Moves BB Only","116964330","2016-01-11 16:55:44"
"BOT - House Moves NLI","117446419","2016-01-11 19:22:30"
"BOT - House Moves Start of Stop","116128939","2016-01-13 07:05:46"
"BOT - House Moves Transfer","116375060","2015-12-23 07:06:20"
"BOT - House Moves WLT","117715534","2016-01-09 12:35:58"
"BOT - Line Check Exception","116715784","2015-12-22 15:23:46"
